rank,name,writer,quote
61,黄金时代,王小波,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
62,中国少年儿童百科全书（全四册）,林崇德 主编,
63,傲慢与偏见,[英] 奥斯丁,所有现代言情小说的母体
64,悲惨世界（上中下）,[法] 雨果,现实主义与浪漫主义的至高杰作
65,秋园,杨本芬,
66,史记（全十册）,司马迁,史家之绝唱，无韵之离骚
67,西游记（全二册）,吴承恩,神魔皆有人情，精魅亦通世故
68,历史深处的忧虑,林达,窥见美国社会的一扇窗
69,置身事内,兰小欢,
70,神雕侠侣,金庸,至情至性，情大于武
71,台北人,白先勇,白先勇短篇小说集
72,永恒的终结,[美] 艾萨克·阿西莫夫,关于时间旅行的终极奥秘和恢宏构想
73,诗经,孔丘,思无邪
74,文学回忆录,木心 口述,木心留给世界的礼物
75,上帝掷骰子吗,曹天元,量子物理史话
76,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
77,孽子,白先勇,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
78,哭泣的骆驼,三毛,沙漠中寻常的生与死
79,灿烂千阳,[美] 卡勒德·胡赛尼,唯有希望与爱可以驱散阴霾
80,最好的告别,[美] 阿图·葛文德（Atul Gawande）,关于衰老与死亡，你必须知道的常识
81,窗边的小豆豆,[日] 黑柳彻子 著,真正懂孩子的教育经
82,唐诗三百首,蘅塘退士,熟读唐诗三百首，不会吟诗也会吟
83,美丽新世界,【英】奥尔德斯·赫胥黎,
84,人间词话,王国维,以新眼光评旧文学
85,看见,柴静,在这里看见中国
86,美的历程,李泽厚,中国美学经典之作
87,呼兰河传,萧红,萧红的童年往事
88,道德经,黄元吉,中国历史上首部完整的哲学著作
89,四世同堂,老舍,北平沦陷时代广大平民的悲惨遭遇
90,浪潮之巅,吴军,了解IT领域的入门读物
91,刘擎西方现代思想讲义,刘擎,
92,爱你就像爱生命,李银河,王小波与李银河的两地书
93,离开的，留下的,[意] 埃莱娜·费兰特,探索中年的虚无、困惑、野心和近乎残暴的爱
94,冬牧场,李娟,阿勒泰的精灵
95,罪与罚,[俄] 陀思妥耶夫斯基,描绘人内心的全部深度
96,我们仨,杨绛,家庭生活回忆录
97,教父,[美]马里奥·普佐,“教父三部曲”电影原著
98,看不见的城市,[意] 伊塔洛·卡尔维诺,
99,巨人的陨落,[英] 肯·福莱特,五个家族，一场战争
100,海子的诗,海子,
101,叫魂,[美] 孔飞力,1768年中国妖术大恐慌
102,人生的枷锁,[英] 毛姆,在混沌纷扰的生活漩流中，寻求人生的真谛
103,可能性的艺术,刘瑜,
104,人生的智慧,(德)叔本华,对世俗、实用问题深刻而透彻的讨论
105,失明症漫记,[葡] 若泽·萨拉马戈,失明症迅速蔓延，整个城市陷入一场空前的灾难
106,飞鸟集,[印] 罗宾德拉纳德·泰戈尔,一个淡泊清透的世界
107,斯通纳,[美] 约翰·威廉斯,即使不能拥有完美的生活，所幸追求过完整的自我
108,绝叫,[日] 叶真中显,
109,始于极限,[日] 上野千鹤子,
110,鹿鼎记,金庸,武侠的解构，流氓的狂欢
111,棋王·树王·孩子王,阿城,
112,也许你该找个人聊聊,[美]洛莉·戈特利布,
113,梦里花落知多少,三毛,哀而不伤
114,陆犯焉识,严歌苓,翻手为苍凉，覆手为繁华
115,这些人，那些事,吴念真,平淡叙述下的惊心动魄
116,边城,沈从文,一切充满了善，然而到处是不凑巧
117,桶川跟踪狂杀人事件,[日] 清水洁,
118,王尔德童话,[英] 王尔德,一颗纯美纯善、永难泯灭的童心
119,受戒,汪曾祺,江南乡镇民间生活，健康淳朴的人性
120,时间简史,,探索时间和空间的核心秘密
121,金色梦乡,,伊坂幸太郎代表作
122,毛泽东选集 第一卷,毛泽东,
123,克莱因壶,[日]冈岛二人,
124,你当像鸟飞往你的山,[美] 塔拉·韦斯特弗,我来自一个极少有人能想象的家庭，教育给了我新世界
125,小径分岔的花园,,一个谜语，谜底正是时间
